taxonomy_id	FMD_002	FMD_003	FMD_004	FMD_006	FMD_007	FMD_008	FMD_009	FMD_012	FMD_013	FMD_014	FMD_015	FMD_017	FMD_021	FMD_023	FMD_024	FMD_025	FMD_026	FMD_027	FMD_028	FMD_029	FMD_032	FMD_033	FMD_034	FMD_035	FMD_037	FMD_038	FMD_039_040	FMD_043_044	FMD_050	FMD_051	FMD_052	FMD_058	FMD_059	NC1	NC2	NC3	NC4
2742624	22	69	57	73	0	39	33	70	38	0	89	0	16	0	30	42	0	0	0	0	0	0	68	14	0	28	57	20	28	0	21	39	17	289	157	40	0
2560286	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0
1134405	0	34	18	18	0	22	19	19	0	0	19	0	0	0	23	17	0	16	0	0	0	15	13	14	0	11	0	0	13	0	12	0	10	0	0	0	0
242600	11	15	14	0	0	15	16	16	0	0	0	0	0	0	16	13	0	26	0	0	0	15	16	0	0	34	18	0	18	0	0	0	11	0	0	0	0
45656	11	52	43	35	0	24	47	24	13	0	49	0	0	0	38	31	0	34	18	0	15	34	39	23	0	83	42	10	30	0	16	0	39	0	0	0	0
2045452	540	2889	563	2232	937	5265	3032	1554	200	90	3751	47	436	19	1818	2608	30	76	65	200	87	141	1829	520	322	986	1403	402	140	1791	161	1059	302	41	0	20	18
714067	68	159	109	265	50	323	177	213	75	11	97	11	43	0	966	83	0	72	61	49	27	42	100	47	183	161	61	87	100	42	105	49	19	0	0	0	0
2609667	33	365	243	96	56	196	76	131	71	11	391	0	49	40	71	111	0	40	23	43	60	0	73	20	18	49	77	25	20	79	56	72	12	0	0	0	0
1905847	399	2071	758	2584	692	1452	1494	1042	89	24	789	30	231	15	856	1083	31	59	49	95	32	51	3091	314	195	618	762	304	205	101	217	576	116	40	0	32	0
2571747	88	447	133	425	135	674	392	379	25	13	356	19	64	65	256	462	0	24	17	58	99	36	286	110	112	152	170	54	70	70	41	153	44	0	0	15	0
2358479	20	67	40	45	40	46	77	48	13	0	45	0	30	0	42	110	0	32	18	17	0	35	55	25	19	76	42	0	32	0	25	18	26	0	0	0	0
1255	107	385	480	385	189	213	321	522	12	69	68	0	29	0	267	148	0	16	11	17	13	31	563	40	63	230	120	52	82	29	46	78	23	14	0	0	0
1833	283	1604	259	1227	1031	1181	871	1639	134	76	1450	214	302	0	628	1692	0	55	123	98	37	78	833	255	276	488	497	168	215	264	86	967	225	339	348	45	0
164608	649	2533	665	1968	1110	1895	1877	1585	103	55	2134	52	367	0	965	2590	0	196	69	92	54	111	1440	226	285	930	874	153	305	277	258	312	210	51	40	0	0
69964	54	306	107	274	108	368	249	262	54	15	539	0	63	0	175	313	0	23	0	23	31	21	231	39	43	123	130	35	73	54	42	143	46	0	0	0	0
2666132	0	76	34	52	19	115	57	77	0	0	65	0	24	0	50	97	0	18	0	0	0	0	112	19	11	22	31	0	14	15	12	16	17	16	0	0	0
206506	31	249	229	149	67	276	159	128	18	0	322	0	35	0	121	228	0	0	0	29	0	13	104	17	40	60	58	19	34	12	26	33	37	0	0	0	0
2766784	717	4588	269	1584	12579	2039	2233	1912	153	37	1315	85	278	25	976	3270	19	97	42	116	28	107	1228	310	219	627	1071	282	114	268	170	641	283	23	0	33	0
29438	0	54	0	29	33	82	0	120	0	0	192	0	0	0	0	158	0	0	0	0	0	0	487	0	0	233	0	0	0	0	0	0	0	85	0	0	0
1288970	48	200	56	209	76	229	161	130	21	10	403	0	44	0	112	187	0	40	12	32	0	18	114	48	38	103	88	20	35	48	33	73	36	0	0	0	0
1631871	96	600	177	895	94	346	662	125	21	26	172	0	39	0	1160	971	0	0	11	0	0	12	1434	51	57	303	90	79	35	14	0	73	0	12	0	0	0
361101	191	356	223	321	178	334	144	395	80	22	375	92	61	0	209	408	0	53	12	54	0	27	486	69	111	370	78	187	152	27	80	21	38	0	0	0	0
153948	0	196	21	81	16	88	124	123	17	258	80	0	22	0	122	250	0	0	16	22	10	0	34	40	0	32	40	24	50	0	0	14	0	0	0	0	0
254246	0	33	0	17	13	22	53	33	0	0	34	0	0	0	19	17	0	0	0	0	0	0	25	15	0	12	0	0	18	13	0	0	17	0	10	0	0
1636607	0	150	158	129	220	102	151	794	0	0	124	0	0	0	87	62	0	0	0	0	0	0	140	0	0	168	170	255	53	0	0	46	0	0	0	0	0
2709304	345	4129	315	1164	1280	1609	1606	2008	110	38	1121	91	197	59	737	2129	24	99	53	139	61	70	1107	249	241	501	785	202	156	192	131	339	251	38	16	0	0
