taxonomy_id	name
1711	Cellulomonas_flavigena
2734187	Pseudomonas_virus_phCDa
1316941	Archaeoglobus_sulfaticallidus
2739063	Thiomicrorhabdus_xiamenensis
28035	Staphylococcus_lugdunensis
1839801	Dehalogenimonas_formicexedens
33991	Rickettsia_montanensis
2547399	Paraburkholderia_sp._7MH5
2563897	Acinetobacter_sp._10FS3-1
2058134	Nonlabens_sp._MB-3u-79
1906275	Cronobacter_sp._JZ38
29546	Lawsonia_intracellularis
1293412	Swingsia_samuiensis
1749	Acidipropionibacterium_jensenii
42422	Halobacteroides_halobius
2734231	Erwinia_virus_Eho49
2283318	Aquirhabdus_parva
2479546	Vibrio_zhugei
658644	Pseudomonas_sp._R5-89-07
266779	Chelativorans_sp._BNC1
1549850	Thioclava_electrotropha
2570229	Phreatobacter_sp._NMCR1094
1186051	Blattabacterium_sp._(Blaberus_giganteus)
2070028	Klebsiella_phage_vB_Kpn_F48
2714946	Vagococcus_coleopterorum
433296	Aminipila_butyrica
1852373	Murdochiella_vaginalis
2005463	Calothrix_sp._NIES-4105
1984801	Streptomyces_sp._CLI2509
2675793	Enterobacteriaceae_endosymbiont_of_Plateumaris_braccata
1404888	Bradyrhizobium_sp._1(2017)
1379270	Gemmatimonas_phototrophica
1187894	Clostridium_phage_PhiS63
1987580	Proteus_columbae
748811	Sulfuritalea_hydrogenivorans
171695	Thermodesulfatator_indicus
1364	Lactococcus_piscium
29518	Borreliella_afzelii
2653851	Rubrobacter_sp._SCSIO_52909
2782169	Microbacterium_sp._NY27
2778082	Rhodanobacter_sp._FDAARGOS_1247
1115757	Leptolyngbya_sp._BL0902
2072505	Streptomyces_sp._Go-475
2028343	Rhizobium_sp._11515TR
121277	Pyrobaculum_arsenaticum
2055160	Kyrpidia_spormannii
2107708	Pandoravirus_neocaledonia
983548	Dokdonia_sp._4H-3-7-5
28446	Anaerotignum_propionicum
301301	Roseburia_hominis
366522	Sulfurospirillum_cavolei
911092	Caldanaerobacter_subterraneus
529	Brucella_anthropi
33952	Acetobacterium_woodii
249402	Cardinium_endosymbiont_of_Encarsia_pergandiella
1160	Planktothrix_agardhii
293371	Paucilactobacillus_oligofermentans
38310	Rhodococcus_coprophilus
2591211	Gordonia_phage_Verity
1674922	Labrenzia_sp._CP4
537	Iodobacter_fluviatilis
1407	Peribacillus_psychrosaccharolyticus
108980	Acinetobacter_ursingii
2583243	Micromonospora_sp._HM134
1215089	Planococcus_halocryophilus
29520	Borrelia_crocidurae
373994	Rivularia_sp._PCC_7116
207949	Bermanella_marisrubri
2604421	Chitinophaga_sp._XS-30
824	Campylobacter_gracilis
1982264	Propionibacterium_virus_P1.1
1570939	Rhodococcus_sp._2G
447471	Simiduia_agarivorans
28047	Mycolicibacterium_confluentis
2735321	Hymenobacter_sp._TS19
2742678	Citrobacter_sp._RHBSTW-01044
2714945	Thermomonas_sp._HDW16
2799325	Luteimonas_sp._MC1572
1795043	Burkholderia_sp._PAMC_26561
1835254	Polynucleobacter_duraquae
1980926	Ralstonia_virus_RSF1
2518645	Oceanispirochaeta_crateris
271420	Pseudomonas_xanthomarina
2603277	Rhizobium_sp._WL3
1920116	Leclercia_sp._LSNIH3
1188228	Gloeomargarita_lithophora
1032851	Corynebacterium_nuruki
536444	Cyanophage_P-RSM1
59737	Rathayibacter_iranicus
1496	Clostridioides_difficile
33010	Cutibacterium_avidum
1108	Chloroflexus_aurantiacus
2768162	Roseomonas_sp._546
41202	Ewingella_americana
2054173	Candidatus_Coxiella_mudrowiae
1982303	Propionibacterium_virus_Pirate
1788301	Pseudomonas_versuta
639313	Hoyosella_subflava
2769486	Marinobacter_sp._LPB0319
673862	Candidatus_Babela_massiliensis
83171	Methanocaldococcus_fervens
332056	Sphingobium_japonicum
979982	Leuconostoc_sp._C2
390884	Echinicola_vietnamensis
1882749	Opitutus_sp._GAS368
2779775	Haloactinobacterium_sp._RN3S43
373	Agrobacterium_vitis
270351	Methylobacterium_aquaticum
2137	Spiroplasma_apis
315358	Spiroplasma_eriocheiris
2808899	Janthinobacterium_sp._PLB02
1658665	Mitsuaria_sp._7
2547598	Marinobacter_sp._JH2
192421	Planococcus_maritimus
361575	Pseudarthrobacter_phenanthrenivorans
2527979	Stieleria_neptunia
277988	Thermococcus_thioreducens
404941	Mycobacteroides_salmoniphilum
1547283	Bacillus_weihaiensis
738	Glaesserella_parasuis
1874061	Sphingopyxis_sp._EG6
709810	Azospirillum_sp._TSA2s
347208	Arthrobacter_sp._J3.37
74320	Buzura_suppressaria_nucleopolyhedrovirus
373068	Corynebacterium_sp._L2-79-05
2734195	Caulobacter_virus_CcrPW
1094892	Megavirus_chiliensis
2172099	Catenovulum_sp._CCB-QB4
85991	Chlamydia_pecorum
2143	Spiroplasma_gladiatoris
256701	Glutamicibacter_arilaitensis
28109	Pseudoalteromonas_nigrifaciens
2493677	Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1
29559	Mycoplasma_hyosynoviae
67581	Streptomyces_viridosporus
1522	[Clostridium]_innocuum
2725416	Chitinophaga_sp._1310
313598	Polaribacter_sp._MED152
1288495	Diaphorobacter_aerolatus
1245	Leuconostoc_mesenteroides
68203	Streptomyces_fungicidicus
2580515	Agrobacterium_sp._T29
1288	Staphylococcus_xylosus
2599401	Streptomyces_qinzhouensis
1834519	Fibrella_sp._ES10-3-2-2
591197	Ignavibacterium_album
2813577	Myxococcus_sp._SCHIC003
47884	Pseudomonas_taetrolens
2594042	Candidatus_Prometheoarchaeum_syntrophicum
2777577	Vibrio_sp._Sal10
35703	Citrobacter_amalonaticus
1049583	Kocuria_indica
76885	Pseudomonas_sp._K-62
2758572	Schaalia_sp._JY-X169
116092	Pseudoalteromonas_sp._A25
2352	Flexistipes_sinusarabici
83559	Chlamydia_suis
29543	Pelobacter_propionicus
178339	Pauljensenia_hongkongensis
158500	Novosphingobium_resinovorum
718	Actinobacillus_equuli
885040	Enterobacter_soli
54911	Brevibacillus_choshinensis
2735133	Herbiconiux_sp._SALV-R1
2654325	Flavobacterium_sp._xlx-214
189381	Bacillus_marisflavi
2201181	Flavobacterium_sediminis
82633	Cupriavidus_pauculus
2592652	Agromyces_sp._KACC_19306
83453	Melittangium_boletus
108010	Thioalkalivibrio_paradoxus
2739433	Erythrobacter_mangrovi
47763	Streptomyces_lydicus
2315	Methanoplanus_limicola
53407	Pseudomonas_asplenii
1245526	Pseudomonas_guangdongensis
2676868	Flavihumibacter_sp._SB-02
388640	Bartonella_australis
1166	Dolichospermum_flos-aquae
360911	Exiguobacterium_sp._AT1b
35	Corallococcus_macrosporus
2305220	Streptomyces_sp._W1SF4
1232575	Acidithiobacillus_ferridurans
213554	Halomonas_campaniensis
1244531	Campylobacter_iguaniorum
1624	Ligilactobacillus_salivarius
70348	Acinetobacter_dispersus
129921	Amycolatopsis_keratiniphila
292462	Mycobacterium_florentinum
1752398	Ensifer_alkalisoli
76936	Helicobacter_typhlonius
202956	Acinetobacter_towneri
68270	Streptomyces_spectabilis
116188	Streptomyces_coeruleorubidus
1778678	Paenibacillus_psychroresistens
1853682	Halarchaeum_sp._CBA1220
2675787	Enterobacteriaceae_endosymbiont_of_Donacia_tomentosa
674	Vibrio_mimicus
94869	Clostridium_gasigenes
292913	Sphingopyxis_sp._113P3
1176198	Streptomyces_harbinensis
1510841	Parasaccharibacter_apium
2675784	Enterobacteriaceae_endosymbiont_of_Donacia_simplex
44008	Enterococcus_cecorum
2795690	Kaistia_sp._32K
29433	Moraxella_ovis
915	Nitrosomonas_europaea
1915209	Acinetobacter_virus_AP22
1712410	Thermoanaerosceptrum_fracticalcis
408	Methylorubrum_extorquens
445709	Pandoraea_thiooxydans
1891094	Pandoraea_fibrosis
